nutrient,zero_value_counts,observation_count,z_score_zero_value_counts,percent_zero,outlier_count,variation_coefficient,missing_rate,median_value,tertile_zero_value
alcohol,8715,8789,1.964985176330409,0.9915803845716237,74,13.615567181006332,0.0,0.0,1
galactose,8602,8789,1.9224150909285402,0.9787234042553191,187,16.214745913970923,0.0,0.0,1
theobromine,8545,8789,1.900941685017863,0.9722380248037319,244,12.982804957781568,0.0,0.0,1
caffeine,8488,8789,1.8794682791071862,0.9657526453521448,301,31.458645225319493,0.0,0.0,1
lactose,8390,8789,1.842549089997601,0.9546023438388895,399,13.917777654820837,0.0,0.0,1
maltose,8092,8789,1.730284616990903,0.9206963249516441,697,6.143803079959047,0.0,0.0,1
carotene_alpha,8000,8789,1.6956257863982311,0.9102286949596086,789,12.871047717820195,0.0,0.0,1
cryptoxanthin_beta,7976,8789,1.6865843523305777,0.9074980088747298,813,18.482390386465752,0.0,0.0,1
folic_acid,7606,8789,1.5471955771209194,0.8653999317328479,1183,5.711113479433983,0.0,0.0,1
fructose,7605,8789,1.5468188507014338,0.8652861531459779,1184,5.863017618961281,0.0,0.0,1
sucrose,7584,8789,1.538907595892237,0.862896802821709,1205,6.850189526297954,0.0,0.0,1
hydroxyproline,7533,8789,1.5196945484984732,0.8570940948913415,1256,3.0438729527839934,0.0,0.0,1
glucose,7453,8789,1.4895564349396282,0.8479918079417453,1336,5.859980440550598,0.0,0.0,1
lutein_zeaxanthin,6603,8789,1.1693389783768995,0.751280009102287,2186,7.550377298531826,0.0,0.0,1
vitamin_d,6469,8789,1.118857638165834,0.7360336784617135,1938,8.491550454028017,0.0,0.0,1
carotene_beta,6359,8789,1.077417732022422,0.7235180339060189,1862,7.2733751453054785,0.0,0.0,1
vitamin_c,4911,8789,0.5319178766073265,0.5587666401183298,1631,7.853105633923881,0.0,0.0,2
vitamin_k,4652,8789,0.43434573396056564,0.5292979861190124,1381,6.6831928096309055,0.0,0.0,2
choline,4183,8789,0.25766104322183647,0.47593582887700536,1085,2.1676333100170324,0.0,1.6,2
vitamin_b12,4135,8789,0.23957817508652943,0.4704744567072477,733,3.5548405093911013,0.0,0.07,2
cholesterol,4079,8789,0.2184814955953379,0.4641028558425304,184,3.030724720773924,0.0,2.0,2
fatty_acids_total_trans,4079,8789,0.2184814955953379,0.4641028558425304,184,3.030724720773924,0.0,2.0,2
fiber,4053,8789,0.20868660868871325,0.4611446125839117,805,2.0926610915960815,0.0,0.4,2
vitamin_a_rae,4025,8789,0.19813826894311748,0.4579588121515531,1422,8.365676991009403,0.0,2.0,2
sugars,3966,8789,0.17591141019346926,0.45124587552622597,1230,2.030535099452972,0.0,0.49,2
aspartic_acid,3949,8789,0.16950706106221466,0.4493116395494368,41,1.3596170574055024,0.0,0.145,2
cystine,3910,8789,0.15481473070227772,0.4448742746615087,42,1.3413510377023,0.0,0.017,2
tryptophan,3810,8789,0.1171420887537214,0.4334964159745136,60,1.3364107124505595,0.0,0.021,2
proline,3805,8789,0.11525845665629357,0.43292752304016385,96,1.334759172651495,0.0,0.088,2
serine,3799,8789,0.1129980981393802,0.43224485151894415,53,1.296711853879838,0.0,0.085,2
glycine,3798,8789,0.11262137171989463,0.4321310729320742,47,1.5246326430115988,0.0,0.064,2
alanine,3797,8789,0.11224464530040906,0.43201729434520425,24,1.3537071128176668,0.0,0.085,2
glutamic_acid,3790,8789,0.10960756036401012,0.4312208442371146,38,1.2463075474155878,0.0,0.336,2
tyrosine,3776,8789,0.10433339049121224,0.42962794402093524,41,1.3175166396270745,0.0,0.06,2
arginine,3754,8789,0.09604540926252986,0.42712481510979633,67,1.3734024609077038,0.0,0.097,2
histidine,3748,8789,0.09378505074561647,0.4264421435885766,31,1.353505695604995,0.0,0.044,2
threonine,3745,8789,0.09265487148715978,0.4261008078279668,26,1.3138199349038475,0.0,0.078,2
phenylalanine,3744,8789,0.09227814506767422,0.4259870292410968,38,1.2800722443276853,0.0,0.088,2
valine,3741,8789,0.09114796580921752,0.425645693480487,39,1.2908258433040183,0.0,0.107,2
isoleucine,3741,8789,0.09114796580921752,0.425645693480487,32,1.3081934979154797,0.0,0.083,2
leucine,3741,8789,0.09114796580921752,0.425645693480487,22,1.288935485844126,0.0,0.133,2
methionine,3732,8789,0.08775742803384746,0.4246216861986574,16,1.364179755321696,0.0,0.032,2
lysine,3728,8789,0.0862505223559052,0.4241665718511776,15,1.3820953102526332,0.0,0.097,2
tocopherol_alpha,3360,8789,-0.05238480001478205,0.3822960518830356,1036,4.305964127481841,0.0,0.12,2
vitamin_e,3360,8789,-0.05238480001478205,0.3822960518830356,1036,4.305964127481841,0.0,0.12,2
vitamin_a,2943,8789,-0.2094797169402619,0.33485038115826604,1390,5.463000862036789,0.0,20.0,2
pantothenic_acid,2497,8789,-0.3774997000308231,0.28410513141426785,301,2.5844559130675306,0.0,0.274,3
manganese,2339,8789,-0.4370224743095421,0.2661281146888156,1054,12.708818828744782,0.0,0.022,3
carbohydrate,2158,8789,-0.5052099562364291,0.2455341904653544,110,1.232545257855616,0.0,9.34,3
selenium,2090,8789,-0.5308273527614473,0.23779724655819776,165,2.1695846107844123,0.0,4.0,3
folate,1896,8789,-0.6039122781416466,0.21572420070542725,1016,2.8959687946047104,0.0,9.0,3
copper,1515,8789,-0.7474450439656461,0.1723745591079759,891,3.2446781428683016,0.0,0.077,3
vitamin_b6,1278,8789,-0.8367292053837246,0.14540903401979746,409,1.7897836956225637,0.0,0.119,3
monounsaturated_fatty_acids,1017,8789,-0.9350548008694567,0.11571282284674024,547,1.809562197142017,0.0,1.6,3
magnesium,1000,8789,-0.9414591500007112,0.11377858686995107,1003,1.730758757290298,0.0,20.0,3
polyunsaturated_fatty_acids,992,8789,-0.9444729613565958,0.11286835817499147,982,2.3884821567726044,0.0,0.591,3
thiamin,990,8789,-0.9452264141955669,0.11264080100125157,854,2.4544853989637914,0.0,0.077,3
riboflavin,951,8789,-0.9599187445555039,0.10820343611332348,569,1.8748122271538943,0.0,0.151,3
zink,938,8789,-0.9648161880088162,0.10672431448401411,530,1.719692753813537,0.0,0.8,3
niacin,927,8789,-0.9689601786231573,0.10547275002844465,301,1.4014996263766357,0.0,2.111,3
phosphorous,841,8789,-1.0013586506989158,0.09568779155762885,265,1.314306644288474,0.0,129.0,3
saturated_fatty_acids,780,8789,-1.0243389622875352,0.08874729775856184,679,1.8713779601770006,0.0,1.435,3
calcium,679,8789,-1.062388330655577,0.07725566048469679,992,2.725827980166245,0.0,19.0,3
potassium,610,8789,-1.0883824536000808,0.06940493799067016,378,1.400346131666684,0.0,219.0,3
irom,468,8789,-1.141877605167031,0.0532483786551371,687,2.1396638345780286,0.0,1.31,3
ash,454,8789,-1.1471517750398288,0.05165547843895779,566,1.7280404411391108,0.0,1.17,3
total_fat,451,8789,-1.1482819542982854,0.05131414267834793,475,1.4983863297568754,0.0,5.1,3
fat,374,8789,-1.1772898885986738,0.0425531914893617,492,1.4989269796131381,0.0,5.13,3
protein,358,8789,-1.1833175113104428,0.04073273409944248,49,0.9281648124952251,0.0,8.02,3
sodium,355,8789,-1.1844476905688994,0.04039139833883263,473,3.065802711749065,0.0,84.0,3
water,96,8789,-1.2820198332156603,0.010922744339515303,0,0.5686900617313383,0.0,63.08,3
serving_size,0,8789,-1.3181855694862745,0.0,0,0.0,0.0,100.0,3
saturated_fat,0,8789,-1.3181855694862745,0.0,535,1.6401985149993503,18.09079531232222,2.2,3
